School_Name,Satety_Rating,Family_Rating,Environment_Rating,Instruction_Rating,Leaders_Rating,Teacher_Rating
"Lenart Elementary Regional Gifted Center","Strong","Average","Average","Strong","Weak","Strong"
"Leslie Lewis Elementary School","Weak","Weak","Weak","Strong","Weak","Average"
"Lincoln Park High School","Strong","Strong","Average","Average","Weak","Average"
"Lionel Hampton Fine & Performing Arts Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"Little Village Elementary School","Average","Average","Average","Strong","Weak","Average"
"Logandale Middle School","Average","NDA","Weak","Weak","Weak","NDA"
"Lorenz Brentano Math & Science Academy Elementary School","Average","Average","Average","Average","Weak","Weak"
"Louis A Agassiz Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"Louisa May Alcott Elementary School","NDA","Strong","NDA","NDA","Weak","Average"
"Louis Armstrong Math & Science Elementary School","Average","NDA","Average","Strong","Weak","NDA"
"Louis Nettelhorst Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
